date,home,away,stage,res,penalties
2021-06-11,turkey,italy,Group A,0-3,
2021-06-12,wales,switzerland,Group A,1-1,
2021-06-12,denmark,finland,Group B,0-1,
2021-06-12,belgium,russia,Group B,3-0,
2021-06-13,england,croatia,Group D,1-0,
2021-06-13,austria,north macedonia,Group C,3-1,
2021-06-13,netherlands,ukraine,Group C,3-2,
2021-06-14,scotland,czech republic,Group D,0-2,
2021-06-14,poland,slovakia,Group E,1-2,
2021-06-14,spain,sweden,Group E,0-0,
2021-06-15,hungary,portugal,Group F,0-3,
2021-06-15,france,germany,Group F,1-0,
2021-06-16,finland,russia,Group B,0-1,
2021-06-16,turkey,wales,Group A,0-2,
2021-06-16,italy,switzerland,Group A,3-0,
2021-06-17,ukraine,north macedonia,Group C,2-1,
2021-06-17,denmark,belgium,Group B,1-2,
2021-06-17,netherlands,austria,Group C,2-0,
2021-06-18,sweden,slovakia,Group E,1-0,
2021-06-18,croatia,czech republic,Group D,1-1,
2021-06-18,england,scotland,Group D,0-0,
2021-06-19,hungary,france,Group F,1-1,
2021-06-19,portugal,germany,Group F,2-1,
2021-06-19,spain,poland,Group E,1-1,
2021-06-20,italy,wales,Group A,1-0,
2021-06-20,switzerland,turkey,Group A,3-1,
2021-06-21,ukraine,austria,Group C,0-1,
2021-06-21,north macedonia,netherlands,Group C,0-3,
2021-06-21,finland,belgium,Group B,0-2,
2021-06-21,russia,denmark,Group B,1-4,
2021-06-22,czech republic,england,Group D,0-1,
2021-06-22,croatia,scotland,Group D,3-1,
2021-06-23,sweden,poland,Group E,3-2,
2021-06-23,slovakia,spain,Group E,0-5,
2021-06-23,germany,hungary,Group F,2-2,
2021-06-23,portugal,france,Group F,2-2,
2021-06-26,wales,denmark,1/8,0-4,
2021-06-26,italy,austria,1/8,2-1,
2021-06-27,netherlands,czech republic,1/8,0-2,
2021-06-27,belgium,portugal,1/8,1-0,
2021-06-28,croatia,spain,1/8,3-5,
2021-06-28,france,switzerland,1/8,3-3,switzerland
2021-06-29,england,germany,1/8,2-0,
2021-06-29,sweden,ukraine,1/8,1-2,
2021-07-02,switzerland,spain,1/4,1-1,spain
2021-07-02,belgium,italy,1/4,1-2,
2021-07-03,czech republic,denmark,1/4,1-2,
2021-07-03,ukraine,england,1/4,0-4,
2021-07-06,italy,spain,1/2,1-1,italy
2021-07-07,england,denmark,1/2,2-1,
2021-07-11,italy,england,final,1-1,italy
