country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-01,-79,-74,17,-71,-88,23
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-02,-53,-19,34,-54,-27,10
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-03,-43,-21,20,-53,-21,8
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-04,-38,-14,3,-53,-41,15
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-05,-39,-12,3,-53,-41,15
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-06,-46,-20,-9,-54,-42,16
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-07,-44,-16,-5,-55,-43,16
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-08,-46,-18,-4,-57,-42,17
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-09,-51,-17,63,-51,-22,9
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-10,-44,-23,6,-56,-22,8
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-11,-42,-20,-16,-56,-43,15
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-12,-40,-14,27,-51,-42,14
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-13,-44,-19,-13,-55,-42,15
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-14,-42,-16,16,-53,-42,15
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-15,-46,-18,8,-56,-43,15
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-16,-51,-18,62,-52,-23,8
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-17,-41,-21,45,-53,-21,6
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-18,-42,-21,-4,-54,-43,14
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-19,-42,-17,-3,-54,-42,14
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-20,-44,-20,-22,-55,-42,15
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-21,-42,-16,14,-53,-42,15
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-22,-45,-17,0,-55,-42,15
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-23,-50,-16,49,-50,-21,8
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-24,-39,-20,49,-50,-19,6
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-25,-40,-19,20,-52,-42,14
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-26,-39,-15,44,-50,-41,13
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-27,-43,-18,-1,-54,-40,15
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-28,-40,-14,33,-51,-40,14
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-29,-39,-9,11,-52,-40,14
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-30,-46,-11,67,-48,-18,7
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-01-31,-36,-15,61,-47,-16,5
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-02-01,-37,-14,32,-50,-41,13
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-02-02,-37,-10,43,-50,-40,13
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-02-03,-42,-15,3,-52,-40,14
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-02-04,-40,-11,20,-51,-40,14
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-02-05,-41,-10,11,-53,-40,14
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-02-06,-47,-11,53,-48,-18,8
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-02-07,-39,-17,1,-52,-19,7
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-02-08,-40,-16,-6,-52,-40,14
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-02-09,-38,-11,8,-50,-38,14
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-02-10,-38,-11,21,-49,-37,14
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-02-11,-38,-8,24,-49,-37,14
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-02-12,-38,-8,48,-49,-37,13
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-02-13,-43,-7,115,-43,-16,6
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-02-14,-27,-8,120,-42,-11,5
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-02-15,-36,-12,40,-51,-45,14
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-02-16,-37,-10,54,-48,-45,14
DK,Denmark,,,,,,ChIJ-1-U7rYnS0YRzZLgw9BDh1I,2021-02-17,-38,-9,19,-49,-44,14
