Kommune,Befolkningstal,Areal,Befolkningstæthed
København,632340,90.1,7018.201997780245
Frederiksberg,104305,8.7,11989.080459770115
Ballerup,48602,33.9,1433.6873156342183
Brøndby,35090,21,1670.952380952381
Dragør,14494,18.2,796.3736263736264
Gentofte,74830,25.599999999999998,2923.0468750000005
Gladsaxe,69262,24.900000000000002,2781.606425702811
Glostrup,23128,13.3,1738.9473684210525
Herlev,28953,12.100000000000001,2392.8099173553715
Albertslund,27731,23.4,1185.0854700854702
Hvidovre,53527,22.9,2337.4235807860264
Høje-Taastrup,50759,78.1,649.9231754161332
Lyngby-Taarbæk,56214,38.8,1448.8144329896909
Rødovre,40652,12.2,3332.131147540984
Ishøj,22989,26.5,867.5094339622641
Tårnby,42989,66.1,650.3630862329804
Vallensbæk,16633,9.6,1732.6041666666667
Furesø,40965,56.7,722.4867724867725
Allerød,25633,67.3,380.87667161961366
Fredensborg,40865,112.1,364.5405887600357
Helsingør,62695,118.9,527.2918418839361
Hillerød,51183,213.6,239.62078651685394
Hørsholm,24864,31.299999999999997,794.3769968051118
Rudersdal,56728,73.4,772.8610354223433
Egedal,43354,125.7,344.9005568814638
Frederikssund,45223,248.6,181.91069991954947
Greve,50558,60.4,837.0529801324503
Køge,60979,257.5,236.8116504854369
Halsnæs,31384,121.8,257.6683087027915
Roskilde,87914,211.7,415.27633443552196
Solrød,23255,40,581.375
Gribskov,41048,279.6,146.80972818311872
Odsherred,32957,354,93.09887005649718
Holbæk,71541,577.2,123.94490644490644
Faxe,36576,404.9,90.3334156581872
Kalundborg,48436,575.5,84.16333622936577
Ringsted,34852,294.6,118.30278343516632
Slagelse,79073,568.4000000000001,139.11505981703024
Stevns,22805,250.20000000000002,91.14708233413269
Sorø,29881,308.4,96.89040207522699
Lejre,27996,238.7,117.28529534981149
Lolland,41105,886.2,46.383434890543896
Næstved,83143,676.5999999999999,122.88353532367722
Guldborgsund,60722,900.8000000000001,67.40896980461811
Vordingborg,45566,620.1999999999999,73.4698484359884
Bornholm,39499,588.4000000000001,67.12950373895308
Middelfart,38853,298.8,130.0301204819277
Assens,40965,511.40000000000003,80.1036370746969
Faaborg-Midtfyn,51556,633.8000000000001,81.34427264121173
Kerteminde,23812,205.8,115.70456754130223
Nyborg,32009,276.8,115.63945086705202
Odense,204895,305.7,670.2486097481191
Svendborg,58296,415.2,140.40462427745666
Nordfyns,29665,452.4,65.57250221043324
Langeland,12491,290.29999999999995,43.0279021701688
Ærø,5964,90.1,66.19311875693674
Haderslev,55670,817,68.13953488372093
Billund,26608,540.3,49.2467147880807
Sønderborg,74220,496.4,149.51651893634167
Tønder,37366,1283.9,29.103512734636652
Esbjerg,115483,795.2,145.2251006036217
Fanø,3488,57.6,60.55555555555556
Varde,49961,1240.2,40.284631511046605
Vejen,42742,813.8,52.521504055050386
Aabenraa,58761,940.6,62.471826493727406
Fredericia,51377,133.6,384.55838323353294
Horsens,90966,519.4,175.13669618790914
Kolding,93175,604.4,154.16115155526143
Vejle,115748,1058.6,109.34063857925563
Herning,89127,1321.1,67.46423435016274
Holstebro,58591,792.9,73.89456425778786
Lemvig,19722,509.09999999999997,38.738951090159105
Struer,21036,246.2,85.44272948822096
Syddjurs,42962,689.8,62.2818208176283
Norddjurs,37089,721,51.44105409153953
Favrskov,48397,540,89.62407407407407
Odder,22844,223.9,102.02769093345243
Randers,97805,747.6,130.82530765115035
Silkeborg,94026,850.4,110.56679209783631
Samsø,3657,113.60000000000001,32.191901408450704
Skanderborg,62678,417,150.30695443645084
Aarhus,349983,468,747.8269230769231
Ikast-Brande,41369,733.6,56.39176663031625
Ringkøbing-Skjern,56594,1470.9,38.475763138214695
Hedensted,46722,550.9,84.81031040116174
Morsø,20247,366.4,55.25927947598254
Skive,45851,683.7,67.06303934474184
Thisted,43423,1074.6,40.40852410199144
Viborg,96921,1408.8000000000002,68.79684838160135
Brønderslev,36304,633,57.3522906793049
Frederikshavn,59654,652,91.49386503067484
Vesthimmerlands,36727,769.6,47.72219334719335
Læsø,1786,121.80000000000001,14.663382594417076
Rebild,30113,621.3,48.467728955416064
Mariagerfjord,41800,718.5,58.176757132915796
Jammerbugt,38324,864,44.35648148148148
Aalborg,217075,1137.3999999999999,190.85194302795853
Hjørring,64483,926.7,69.5834682205676
